timestamp,appliance,device_id,appliance_type,power_kwh,temperature,is_weekend,is_holiday
2012-11-09,dishwasher,6,home_appliance,0.11240308747855918,22.0,0,0
2012-11-09,kettle,10,kitchen_appliance,0.002,22.0,0,0
2012-11-09,tv,7,entertainment,0.15416535493869718,22.0,0,0
2012-11-09,washing_machine,5,home_appliance,0.0,22.0,0,0
2012-11-10,dishwasher,6,home_appliance,1.1553749968258018,22.0,1,0
2012-11-10,kettle,10,kitchen_appliance,0.15008402604815846,22.0,1,0
2012-11-10,tv,7,entertainment,0.36969267863013855,22.0,1,0
2012-11-10,washing_machine,5,home_appliance,0.7712160898143041,22.0,1,0
2012-11-11,dishwasher,6,home_appliance,0.024013722308610184,22.0,1,0
2012-11-11,kettle,10,kitchen_appliance,0.30512250605895547,22.0,1,0
2012-11-11,tv,7,entertainment,0.4525964562485826,22.0,1,0
2012-11-11,washing_machine,5,home_appliance,1.4953639873778106,22.0,1,0
2012-11-12,dishwasher,6,home_appliance,1.254400382996045,22.0,0,0
2012-11-12,kettle,10,kitchen_appliance,0.35949004672420803,22.0,0,0
2012-11-12,tv,7,entertainment,0.2030878720605956,22.0,0,0
2012-11-12,washing_machine,5,home_appliance,5.1107720914484895e-06,22.0,0,0
2012-11-13,dishwasher,6,home_appliance,0.016246621886699897,22.0,0,0
2012-11-13,kettle,10,kitchen_appliance,0.621148561989958,22.0,0,0
2012-11-13,tv,7,entertainment,0.034306439849331904,22.0,0,0
2012-11-13,washing_machine,5,home_appliance,0.771405534201729,22.0,0,0
2012-11-14,dishwasher,6,home_appliance,1.1998425975302585,22.0,0,0
2012-11-14,kettle,10,kitchen_appliance,0.2993046513541536,22.0,0,0
2012-11-14,tv,7,entertainment,0.13140686494514206,22.0,0,0
2012-11-14,washing_machine,5,home_appliance,1.4483797659938935,22.0,0,0
2012-11-15,dishwasher,6,home_appliance,0.017092416642619068,22.0,0,0
2012-11-15,kettle,10,kitchen_appliance,0.11818633061052143,22.0,0,0
2012-11-15,tv,7,entertainment,0.019160252117404734,22.0,0,0
2012-11-15,washing_machine,5,home_appliance,0.0,22.0,0,0
2012-11-16,dishwasher,6,home_appliance,0.021017601273421647,22.0,0,0
2012-11-16,kettle,10,kitchen_appliance,0.0,22.0,0,0
2012-11-16,laptop,4,electronics,0.19817108074043563,22.0,0,0
2012-11-16,tv,7,entertainment,0.21697416787891585,22.0,0,0
2012-11-16,washing_machine,5,home_appliance,0.0,22.0,0,0
2012-11-17,dishwasher,6,home_appliance,0.024015458215537893,22.0,1,0
2012-11-17,kettle,10,kitchen_appliance,0.0,22.0,1,0
2012-11-17,laptop,4,electronics,0.3971228002870515,22.0,1,0
2012-11-17,tv,7,entertainment,0.15331967465280372,22.0,1,0
2012-11-17,washing_machine,5,home_appliance,0.0,22.0,1,0
2012-11-18,dishwasher,6,home_appliance,0.010010256470298972,22.0,1,0
2012-11-18,kettle,10,kitchen_appliance,0.0,22.0,1,0
2012-11-18,laptop,4,electronics,0.1650197482929583,22.0,1,0
2012-11-18,tv,7,entertainment,0.009527841004781415,22.0,1,0
2012-11-18,washing_machine,5,home_appliance,0.0,22.0,1,0
2012-11-19,dishwasher,6,home_appliance,0.005001706484641638,22.0,0,0
2012-11-19,kettle,10,kitchen_appliance,0.0,22.0,0,0
2012-11-19,laptop,4,electronics,0.06555531553682238,22.0,0,0
2012-11-19,tv,7,entertainment,0.23319356617969897,22.0,0,0
2012-11-19,washing_machine,5,home_appliance,0.0,22.0,0,0
2012-11-20,dishwasher,6,home_appliance,0.017005116546796054,22.0,0,0
2012-11-20,kettle,10,kitchen_appliance,0.0,22.0,0,0
2012-11-20,laptop,4,electronics,0.21666881591787804,22.0,0,0
2012-11-20,tv,7,entertainment,0.08315175453914594,22.0,0,0
2012-11-20,washing_machine,5,home_appliance,1.7064846416382253e-06,22.0,0,0
2012-11-21,dishwasher,6,home_appliance,1.1850768975557437,22.0,0,0
2012-11-21,kettle,10,kitchen_appliance,0.0,22.0,0,0
2012-11-21,laptop,4,electronics,0.0,22.0,0,0
2012-11-21,tv,7,entertainment,0.10679562935305255,22.0,0,0
2012-11-21,washing_machine,5,home_appliance,0.0,22.0,0,0
2012-11-22,dishwasher,6,home_appliance,0.024170564423203908,22.0,0,0
